<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTN,20180105,15.8982,19.5085,15.8982,19.5085,300
BTN,20180108,15.8348,15.8348,15.8348,15.8348,200
BTN,20180109,15.8348,15.8348,15.8348,15.8348,0
BTN,20180110,15.8348,15.8348,15.8348,15.8348,100
BTN,20180111,15.8348,15.8348,15.8348,15.8348,0
BTN,20180112,15.8348,15.8350,15.8348,15.8350,0
BTN,20180115,14.5370,14.5370,14.5370,14.5370,200
BTN,20180116,12.6550,12.6550,12.6550,12.6550,100
BTN,20180117,11.0326,12.3305,11.0326,12.3305,200
BTN,20180118,11.6815,11.6815,11.6815,11.6815,0
BTN,20180119,11.6815,11.6815,11.6815,11.6815,0
BTN,20180122,9.9293,9.9293,9.9293,9.9293,100
BTN,20180123,9.9293,9.9293,9.9293,9.9293,0
BTN,20180124,9.9293,9.9293,9.9293,9.9293,0
BTN,20180125,9.9293,9.9293,9.9293,9.9293,10
BTN,20180126,8.5016,9.9293,8.5016,9.9293,200
BTN,20180129,9.2154,9.2154,9.2154,9.2154,0
BTN,20180130,9.2154,9.2154,9.2154,9.2154,0
BTN,20180131,9.2154,9.2154,9.2154,9.2154,0
BTN,20180201,9.2154,9.2154,9.2154,9.2154,0
BTN,20180202,9.2154,9.2154,9.2154,9.2154,0
BTN,20180205,9.2154,9.2154,9.2154,9.2154,0
BTN,20180206,7.8526,7.8526,7.8526,7.8526,100
BTN,20180207,7.8526,7.8526,7.8526,7.8526,10
BTN,20180208,7.8526,7.8526,7.8526,7.8526,0
BTN,20180209,7.8526,7.8526,7.8526,7.8526,0
BTN,20180212,7.8526,7.8526,7.8526,7.8526,0
BTN,20180213,7.8526,7.8526,7.8526,7.8526,0
BTN,20180221,7.8526,7.8526,7.8526,7.8526,0
BTN,20180222,7.8526,7.8526,7.8526,7.8526,0
BTN,20180223,7.8526,7.8526,7.8526,7.8526,0
BTN,20180226,7.8526,7.8526,7.8526,7.8526,0
BTN,20180227,7.8526,7.8526,7.8526,7.8526,0
BTN,20180228,7.8526,7.8526,7.8526,7.8526,10
BTN,20180301,7.8526,7.8526,7.8526,7.8526,0
BTN,20180302,7.8526,7.8526,7.8526,7.8526,0
BTN,20180305,7.8526,7.8526,7.8526,7.8526,0
BTN,20180306,7.8526,7.8526,7.8526,7.8526,0
BTN,20180307,7.8526,7.8526,7.8526,7.8526,0
BTN,20180308,7.8526,7.8526,7.8526,7.8526,0
BTN,20180309,7.8526,7.8526,7.8526,7.8526,0
BTN,20180312,7.8526,7.8526,7.8526,7.8526,0
BTN,20180313,7.8526,7.8526,7.8526,7.8526,0
BTN,20180314,7.8526,7.8526,7.8526,7.8526,0
BTN,20180315,7.8526,7.8526,7.8526,7.8526,0
BTN,20180316,7.8526,7.8526,7.8526,7.8526,0
BTN,20180319,7.8526,7.8526,7.8526,7.8526,0
BTN,20180320,7.8526,7.8526,7.8526,7.8526,0
BTN,20180321,7.8526,7.8526,7.8526,7.8526,0
BTN,20180322,7.8526,7.8526,7.8526,7.8526,0
BTN,20180323,7.8526,7.8526,7.8526,7.8526,0
BTN,20180326,7.8526,7.8526,7.8526,7.8526,0
BTN,20180327,7.8526,7.8526,7.8526,7.8526,0
BTN,20180328,7.8526,7.8526,7.8526,7.8526,0
BTN,20180329,7.8526,7.8526,7.8526,7.8526,0
BTN,20180330,7.8526,7.8526,7.8526,7.8526,0
BTN,20180402,7.8526,7.8526,7.8526,7.8526,0
BTN,20180403,7.8526,7.8526,7.8526,7.8526,0
BTN,20180404,7.8526,7.8526,7.8526,7.8526,0
BTN,20180405,7.8526,7.8526,7.8526,7.8526,0
BTN,20180406,7.8526,7.8526,7.8526,7.8526,0
BTN,20180409,7.8526,7.8526,7.8526,7.8526,0
BTN,20180410,7.8526,7.8526,7.8526,7.8526,0
BTN,20180411,7.8526,7.8526,7.8526,7.8526,0
BTN,20180412,7.8526,7.8526,7.8526,7.8526,0
BTN,20180413,7.8526,7.8526,7.8526,7.8526,0
BTN,20180416,7.8526,7.8526,7.8526,7.8526,0
BTN,20180417,7.8526,7.8526,7.8526,7.8526,0
BTN,20180418,7.8526,7.8526,7.8526,7.8526,0
BTN,20180419,7.8526,7.8526,7.8526,7.8526,0
BTN,20180420,7.8526,7.8526,7.8526,7.8526,0
BTN,20180423,7.8526,7.8526,7.8526,7.8526,0
BTN,20180424,7.8526,7.8526,7.8526,7.8526,0
BTN,20180426,7.8526,7.8526,7.8526,7.8526,0
BTN,20180427,7.8526,7.8526,7.8526,7.8526,0
BTN,20180502,7.8526,7.8526,7.8526,7.8526,0
BTN,20180503,7.8526,7.8526,7.8526,7.8526,0
BTN,20180504,7.7877,7.7877,7.7877,7.7877,21000
BTN,20180507,7.7877,7.7877,7.7877,7.7877,0
BTN,20180508,7.7877,7.7877,7.7877,7.7877,0
BTN,20180509,7.7877,7.7877,7.7877,7.7877,0
BTN,20180510,7.7877,7.7877,7.7877,7.7877,0
BTN,20180511,7.7877,7.7877,7.7877,7.7877,0
BTN,20180514,7.7877,7.7877,7.7877,7.7877,0
BTN,20180515,7.7877,7.7877,7.7877,7.7877,0
BTN,20180516,7.7877,7.7877,7.7877,7.7877,0
BTN,20180517,7.7877,7.7877,7.7877,7.7877,0
BTN,20180518,7.7877,7.7877,7.7877,7.7877,0
BTN,20180521,7.7877,7.7877,7.7877,7.7877,0
BTN,20180522,7.7877,7.7877,7.7877,7.7877,0
BTN,20180523,7.7877,7.7877,7.7877,7.7877,0
BTN,20180524,7.7877,7.7877,7.7877,7.7877,0
BTN,20180525,7.7877,7.7877,7.7877,7.7877,0
BTN,20180528,7.7877,7.7877,7.7877,7.7877,0
BTN,20180529,7.7877,7.7877,7.7877,7.7877,0
BTN,20180530,7.7877,7.7877,7.7877,7.7877,0
BTN,20180531,7.7877,7.7877,7.7877,7.7877,0
BTN,20180601,6.8142,7.4632,6.8142,7.4632,3900
BTN,20180604,7.1387,7.1387,7.1387,7.1387,200
BTN,20180605,7.0089,7.0089,7.0089,7.0089,11400
BTN,20180606,7.0089,7.0089,7.0089,7.0089,0
BTN,20180607,7.0089,7.0089,7.0089,7.0089,0
BTN,20180608,5.9705,5.9706,5.9705,5.9706,100
BTN,20180611,5.1269,5.1269,5.1269,5.1269,100
BTN,20180612,5.1269,5.1269,5.1269,5.1269,0
BTN,20180613,5.1918,5.1918,5.1918,5.1918,6300
BTN,20180614,5.9706,5.9706,5.9706,5.9706,100
BTN,20180615,5.1918,5.1918,5.1918,5.1918,100
BTN,20180618,5.1918,5.1918,5.1918,5.1918,0
BTN,20180619,5.1918,5.1918,5.1918,5.1918,0
BTN,20180620,5.1918,5.1918,5.1918,5.1918,0
BTN,20180621,5.9706,5.9706,5.9706,5.9706,100
BTN,20180622,5.1918,5.1918,5.1918,5.1918,100
BTN,20180625,5.1918,5.1918,5.1918,5.1918,0
BTN,20180626,5.1918,5.1918,5.1918,5.1918,0
BTN,20180627,4.4779,4.4779,4.4779,4.4779,110
BTN,20180628,4.4779,4.4779,4.4779,4.4779,0
BTN,20180629,4.4779,4.4779,4.4779,4.4779,0
BTN,20180702,3.8938,4.4779,3.8938,4.4779,200
BTN,20180703,3.8938,3.8938,3.8938,3.8938,100
BTN,20180704,3.8938,3.8938,3.8938,3.8938,0
BTN,20180705,3.3746,4.4779,3.3746,4.4779,200
BTN,20180706,3.4395,3.4396,3.4395,3.4396,100
BTN,20180709,3.4396,3.4396,3.4396,3.4396,0
BTN,20180710,3.4396,3.4396,3.4396,3.4396,0
BTN,20180711,3.8939,3.8939,3.8938,3.8938,100
BTN,20180712,4.4779,4.4779,4.4779,4.4779,100
BTN,20180713,3.8938,3.8938,3.8938,3.8938,100
BTN,20180716,3.8938,3.8938,3.8938,3.8938,0
BTN,20180717,4.4779,4.4779,4.4779,4.4779,100
BTN,20180718,3.8938,5.1269,3.8938,5.1269,200
BTN,20180719,3.8938,3.8938,3.8938,3.8938,100
BTN,20180720,3.8938,3.8938,3.8938,3.8938,0
BTN,20180723,4.4779,4.4779,4.4779,4.4779,100
BTN,20180724,3.8938,5.1269,3.8938,5.1269,200
BTN,20180725,3.8938,3.8938,3.8938,3.8938,100
BTN,20180726,3.8938,3.8938,3.8938,3.8938,0
BTN,20180727,4.4779,4.4779,4.4779,4.4779,100
BTN,20180730,3.8938,3.8938,3.8938,3.8938,100
BTN,20180731,4.4779,4.4779,4.4779,4.4779,100
BTN,20180801,3.9587,3.9587,3.9587,3.9587,100
BTN,20180802,4.5428,4.5428,4.5428,4.5428,100
BTN,20180803,3.9587,3.9587,3.9587,3.9587,100
BTN,20180806,4.4130,4.4130,4.4130,4.4130,100
BTN,20180807,3.9587,3.9587,3.9587,3.9587,100
BTN,20180808,4.4779,4.4779,4.4779,4.4779,100
BTN,20180809,3.9587,3.9587,3.9587,3.9587,100
BTN,20180810,4.5428,4.5428,4.5428,4.5428,100
BTN,20180813,4.4779,4.4779,4.4779,4.4779,100
BTN,20180814,4.4779,4.4779,4.4779,4.4779,0
BTN,20180815,4.4779,4.4779,4.4779,4.4779,0
BTN,20180816,4.4779,4.4779,4.4779,4.4779,0
BTN,20180817,4.4779,4.4779,4.4779,4.4779,0
BTN,20180820,4.0236,4.0236,4.0236,4.0236,100
BTN,20180821,4.6077,4.6077,4.6077,4.6077,100
BTN,20180822,4.0236,4.0236,4.0236,4.0236,100
BTN,20180823,4.4779,4.4779,4.4779,4.4779,100
