<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,2010-03-30,7.2234,7.705,6.9654,7.2234,869800
VND,2010-03-31,7.2234,7.5846,7.2234,7.4814,846200
VND,2010-04-01,7.4814,7.6878,7.4814,7.5846,412900
VND,2010-04-02,7.5846,7.619,7.2234,7.5158,569400
VND,2010-04-05,7.5158,7.7394,7.2234,7.7394,748500
VND,2010-04-06,7.7394,7.7394,7.3954,7.5674,724800
VND,2010-04-07,7.5674,7.8254,7.4126,7.8254,816300
VND,2010-04-08,7.8254,7.8254,7.619,7.8254,1131600
VND,2010-04-09,7.8254,8.2553,7.791,8.2553,1534400
VND,2010-04-12,8.2553,8.7369,8.2553,8.7369,813400
VND,2010-04-13,8.7369,9.2357,8.4101,8.4961,756400
VND,2010-04-14,8.4961,8.5821,8.2037,8.4101,729000
VND,2010-04-15,8.4101,8.7713,8.4101,8.5649,922100
VND,2010-04-16,8.5649,8.7369,8.5133,8.5993,542500
VND,2010-04-19,8.5993,8.7541,8.5821,8.5993,716900
VND,2010-04-20,8.5993,8.8057,8.5821,8.6337,701600
VND,2010-04-21,8.6337,9.3045,8.5993,9.3045,974500
VND,2010-04-22,9.3045,9.4764,9.0981,9.2185,720600
VND,2010-04-26,9.2185,9.3732,9.1325,9.2873,933900
VND,2010-04-27,9.2873,9.2873,9.0293,9.0809,830900
VND,2010-04-28,9.0809,9.1497,8.9433,9.1497,601500
VND,2010-04-29,9.1497,9.2185,9.0809,9.1497,531500
VND,2010-05-04,9.1497,9.4592,9.1497,9.3389,753500
VND,2010-05-05,9.3389,9.4592,9.2185,9.4248,595800
VND,2010-05-06,9.4248,10.0096,9.4248,9.6312,605700
VND,2010-05-07,9.6312,9.6312,9.0293,9.2357,783500
VND,2010-05-10,9.2357,9.2357,8.6337,8.7025,948900
VND,2010-05-11,8.7025,9.1153,8.7025,8.7885,1001900
VND,2010-05-12,8.7885,8.7885,8.3069,8.3757,780900
VND,2010-05-13,8.3757,8.7541,8.3757,8.4617,597400
VND,2010-05-14,8.4617,8.5477,8.4101,8.4789,388200
